NO.,BRAND,MONTH,,,,,,,,,,,,"SALES
2019","SHARE
%"
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,
1,TOYOTA,25081,23443,28732,29408,29103,18541,29362,28929,31831,30944,28970,27453,331797,32.2%
2,DAIHATSU,14769,16305,19625,16126,14178,6020,13013,15415,17537,17530,15911,10855,177284,17.2%
3,HONDA,10064,10637,8144,11631,11048,7563,13894,11909,12431,14503,13210,12305,137339,13.3%
4,MITSUBISHI MOTORS,11712,10704,13164,7832,9228,9176,10916,10477,8534,8569,8883,9816,119011,11.6%
5,SUZUKI,8271,8307,6291,7677,8775,7236,8172,8622,8118,8721,10077,10116,100383,9.7%
6,MITSUBISHI FUSO,4671,3916,2957,2244,2533,2792,3684,3763,4178,5414,3091,3511,42754,4.2%
7,HINO,2756,2723,2670,2198,1673,1656,2458,2971,3129,2885,2834,3115,31068,3%
8,ISUZU,2343,1805,1812,1817,1682,1823,1838,2360,2077,2481,2664,2568,25270,2.5%
9,WULING,360,1199,1194,1533,2055,1426,2191,1849,2000,1976,1948,4612,22343,2.2%
10,NISSAN,387,343,3172,902,1204,1168,1171,1228,951,480,707,589,12302,1.2%
11,DATSUN,258,632,674,885,598,797,442,645,488,502,438,128,6487,0.6%
12,MAZDA,428,429,434,434,470,182,514,463,340,418,430,342,4884,0.5%
13,DFSK,103,156,161,152,338,401,469,408,451,443,286,489,3857,0.4%
14,MERCEDES BENZ CV,167,166,205,207,182,105,115,129,247,165,256,751,2695,0.3%
15,B M W,175,175,200,148,210,131,271,301,262,260,282,85,2500,0.2%
16,UD TRUCKS,180,250,231,228,199,151,190,345,120,112,139,126,2271,0.2%
17,CHEVROLET,113,179,217,153,140,68,26,24,50,22,413,124,1529,0.1%
18,LEXUS,9,112,170,131,114,84,139,230,96,198,117,25,1425,0.1%
19,HYUNDAI,88,104,81,157,140,67,142,159,104,135,105,83,1365,0.1%
20,TATA,99,74,66,42,37,48,30,101,36,145,50,82,810,0.1%
21,MINI,35,40,50,50,50,50,70,75,80,65,85,50,700,0.1%
22,MERCEDES BENZ PC,-,-,-,-,-,-,-,-,-,-,186,331,517,0.1%
23,SCANIA,41,55,52,43,49,44,46,28,19,26,11,4,418,0%
24,VOLKSWAGEN,15,31,27,4,17,23,38,55,24,29,70,17,350,0%
25,FAW,16,10,16,30,35,11,25,26,26,46,14,36,291,0%
26,RENAULT MAXINDO,-,-,-,-,34,28,26,37,19,37,40,29,250,0%
27,PEUGEOT,-,9,14,9,7,6,7,10,16,15,18,18,129,0%
28,AUDI,3,1,4,4,2,2,1,3,6,3,3,4,36,0%
29,MAN TRUCK,8,3,3,3,-,1,2,1,5,4,2,-,32,0%
30,RENAULT AUTO EURO,3,1,2,8,8,-,2,5,-,-,-,-,29,0%
31,PROTON,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
32,INFINITI,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
33,HYUNDAI KOMERSIAL,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
GRAND TOTAL,,82155,81809,90368,84056,84109,59600,89254,90568,93175,96128,91240,87664,1030126,100%
CUMULATIVE,,82155,163964,254332,338388,422497,482097,571351,661919,755094,851222,942462,1030126,,
B. RETAIL SALES,,,,,,,,,,,,,,,
NO.,BRAND,MONTH,,,,,,,,,,,,"RETAIL
2019","SHARE
%"
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,
1,TOYOTA,25248,23226,27608,26611,31871,22123,28179,28022,26529,28495,29672,33420,331004,31.7%
2,DAIHATSU,16274,15145,16071,13216,17486,9834,12805,13696,13112,15578,16214,18157,177588,17%
3,HONDA,12190,12828,15179,10260,12486,8596,12702,13127,12323,12375,13010,14363,149439,14.3%
4,MITSUBISHI MOTORS,11238,11176,11686,10558,10217,8240,10640,10143,8034,9034,9688,8282,118936,11.4%
5,SUZUKI,9244,7002,7321,8145,9633,6730,9307,9114,8326,8501,9141,10401,102865,9.9%
6,MITSUBISHI FUSO,4305,3138,2873,3116,2409,2623,3512,3587,3909,4329,4174,3760,41735,4%
7,HINO,2752,2642,3038,2096,1918,1569,2438,2834,2974,3049,2839,3322,31471,3%
8,ISUZU,2048,1838,1964,1799,1767,1689,2003,2299,2281,2249,2684,2694,25315,2.4%
9,WULING,1172,1298,1474,1479,2036,1366,2066,1973,1842,1662,1876,2868,21112,2%
10,NISSAN,648,669,1372,964,1437,903,1240,1459,915,1070,1070,823,12570,1.2%
11,DATSUN,751,615,586,838,828,616,736,676,637,553,455,458,7749,0.7%
12,MAZDA,411,440,475,363,430,270,500,500,400,375,402,368,4934,0.5%
13,DFSK,109,133,90,145,193,258,365,424,370,402,362,409,3260,0.3%
14,B M W,175,175,200,148,210,131,271,301,262,260,282,85,2500,0.2%
15,MERCEDES BENZ CV,180,138,188,161,240,73,192,94,239,194,159,284,2142,0.2%
16,UD TRUCKS,213,229,209,178,128,159,126,198,137,125,183,181,2066,0.2%
17,CHEVROLET,185,208,252,127,148,99,91,49,78,26,270,303,1836,0.2%
18,HYUNDAI,122,80,106,100,76,195,65,226,107,137,110,93,1417,0.1%
19,LEXUS,15,97,152,123,109,76,94,207,124,165,127,65,1354,0.1%
20,TATA,137,53,81,41,50,30,60,89,59,110,48,61,819,0.1%
21,MINI,35,40,50,50,50,50,70,75,80,65,85,50,700,0.1%
22,MERCEDES BENZ PC,-,-,-,-,-,-,-,-,-,-,309,292,601,0.1%
23,SCANIA,41,55,52,43,49,44,46,28,19,26,11,4,418,0%
24,VOLKSWAGEN,15,31,27,4,17,23,38,55,24,29,70,17,350,0%
25,FAW,16,10,16,30,35,11,25,26,26,46,14,36,291,0%
26,RENAULT MAXINDO,-,-,-,-,34,28,26,37,19,37,40,29,250,0%
27,PEUGEOT,-,9,14,9,7,6,7,10,16,15,18,18,129,0%
28,RENAULT AUTO EURO,12,11,18,8,12,5,4,5,-,-,-,-,75,0%
29,AUDI,3,1,4,4,2,2,1,3,6,3,3,4,36,0%
30,MAN TRUCK,8,3,3,3,-,1,2,1,5,4,2,-,32,0%
31,PROTON,8,3,6,3,3,-,-,-,-,-,-,-,23,0%
32,INFINITI,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
33,HYUNDAI KOMERSIAL,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
GRAND TOTAL,,87555,81293,91115,80622,93881,65750,87611,89258,82853,88914,93318,100847,1043017,100%
CUMULATIVE,,87555,168848,259963,340585,434466,500216,587827,677085,759938,848852,942170,1043017,,
C. PRODUCTION,,,,,,,,,,,,,,,
NO.,BRAND,MONTH,,,,,,,,,,,,"PROD
2019","SHARE
%"
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,
1,TOYOTA,40834,35370,41806,44078,45406,30351,49919,50024,48273,48412,42761,39360,516594,40.1%
2,MITSUBISHI MOTORS,19054,15758,16645,15637,15375,11431,19784,18581,18348,17475,15651,10215,193954,15.1%
3,DAIHATSU,14670,16158,19451,15943,13967,5921,12773,15246,17377,17391,15737,10855,175489,13.6%
4,HONDA,10842,9207,10188,9245,10282,7421,12632,11939,12065,14132,12967,12327,133247,10.4%
5,SUZUKI,7399,5210,13114,9002,8723,6414,12722,12159,12651,12626,12200,12438,124658,9.7%
6,MITSUBISHI FUSO,5013,4596,4344,3359,2659,2463,3767,3613,3399,3372,3444,3936,43965,3.4%
7,HINO,3656,3583,3117,2531,2353,1585,2719,2391,2278,2749,2635,2828,32425,2.5%
8,WULING,1368,1207,1142,2099,1870,1258,2092,2335,2949,2629,3039,2992,24980,1.9%
9,ISUZU,2201,2421,2494,1802,1664,1128,1682,1651,2029,2496,2727,2151,24446,1.9%
10,DATSUN,298,765,645,252,360,276,120,336,426,504,419,115,4516,0.4%
11,DFSK,24,143,170,134,280,424,526,641,476,492,470,289,4069,0.3%
12,HYUNDAI (PC),380,379,367,280,78,289,453,401,330,317,293,222,3789,0.3%
13,B M W,156,107,128,143,178,137,196,281,242,289,258,222,2337,0.2%
14,UD TRUCK,214,160,163,137,116,76,141,89,89,83,139,104,1511,0.1%
15,MERCEDES-BENZ PC,-,-,-,-,-,-,-,-,-,-,200,218,418,0%
16,MINI,2,40,29,1,24,39,32,21,26,1,25,23,263,0%
17,NISSAN,180,-,-,-,-,-,-,-,-,-,-,-,180,0%
18,RENAULT,-,-,-,-,7,-,-,-,-,-,-,-,7,0%
19,FAW,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
20,VOLKSWAGEN,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
21,SCANIA,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
22,AUDI,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
GRAND TOTAL,,106291,95104,113803,104643,103342,69213,119558,119708,120958,122968,112965,98295,1286848,100%
CUMULATIVE,,106291,201395,315198,419841,523183,592396,711954,831662,952620,1075588,1188553,1286848,,
D. EXPORTS,,,,,,,,,,,,,,,
NO.,BRAND,MONTH,,,,,,,,,,,,"EXPORT
2019","SHARE
%"
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,
1,DAIHATSU,8478,7531,10107,9133,11572,8363,11629,13507,11763,10316,10139,10689,123227,37.1%
2,TOYOTA,6104,6297,7392,5518,8476,5160,10260,9718,9074,7969,7184,6053,89205,26.9%
3,MITSUBISHI MOTORS,4329,5805,4641,2865,3926,2790,4336,7265,7207,9763,7793,3994,64714,19.5%
4,SUZUKI,2743,2816,2880,1641,1832,1111,4568,4082,4883,5532,4543,2982,39613,11.9%
5,HONDA,-,6,-,721,2070,900,120,1170,450,150,660,600,6847,2.1%
6,HYUNDAI (PC),300,421,270,300,56,184,450,330,270,360,240,60,3241,1%
7,WULING,6,6,6,-,-,-,-,-,770,724,605,579,2696,0.8%
8,HINO,235,85,185,160,205,150,275,330,130,205,195,155,2310,0.7%
9,DFSK,-,-,4,3,-,3,-,67,25,61,6,1,170,0.1%
TOTAL CBU (UNIT),,22195,22967,25485,20341,28137,18661,31638,36469,34572,35080,31365,25113,332023,100%
1,HONDA,35610,40260,39840,39060,48150,18930,28230,28260,31380,25350,23550,19727,378347,74%
2,TOYOTA,2870,2680,3760,3600,6810,4360,5120,4000,3490,4520,3950,60789,105949,20.7%
3,SUZUKI,3192,2304,3276,2472,3228,2256,2976,2352,1344,888,1152,1380,26820,5.2%
4,DFSK,60,15,6,51,13,1,33,36,37,2,39,16,309,0.1%
TOTAL CKD (SET),,41732,45259,46882,45183,58201,25547,36359,34648,36251,30760,28691,81912,511425,100%
1,TOYOTA,6491065,6144310,8418433,7484357,8249510,4687332,4927659,5993756,6079290,6230601,4520375,5759573,74986261,94.5%
2,HONDA,171390,137700,139530,193590,227670,73170,245364,170496,235020,161370,435384,312602,2503286,3.2%
3,HINO,99712,92663,82573,98361,118430,89581,98462,93608,93155,78785,77794,69473,1092597,1.4%
4,SUZUKI,116001,129871,121032,48555,106324,66142,55841,32258,15573,14162,15831,11570,733160,0.9%
TOTAL COMPONENT (PCS),,6878168,6504544,8761568,7824863,8701934,4916225,5327326,6290118,6423038,6484918,5049384,6153218,79315304,100%
E.  IMPORTS,,,,,,,,,,,,,,,
NO.,BRAND,MONTH,,,,,,,,,,,,"IMPORT
2019","SHARE
%"
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,
1,TOYOTA,1962,2176,2208,2248,1339,2360,2461,1554,2628,2231,1551,829,23547,31.9%
2,MITSUBISHI MOTORS,253,1633,1096,442,577,2627,2214,1759,1304,3157,1879,1055,17996,24.4%
3,SUZUKI,-,3000,1299,761,1119,1034,2081,993,878,1094,278,916,13453,18.2%
4,MAZDA,428,429,434,434,470,182,514,463,340,418,430,342,4884,6.6%
5,HONDA,90,407,81,80,224,437,461,411,318,313,244,-,3066,4.2%
6,DAIHATSU,100,150,200,160,210,99,241,170,160,140,170,-,1800,2.4%
7,LEXUS,58,112,169,214,78,224,151,59,226,99,29,-,1419,1.9%
8,MERCEDES-BENZ CV,125,188,317,229,107,186,61,38,24,29,10,46,1360,1.8%
9,CHEVROLET,-,239,47,115,237,236,254,117,-,-,-,-,1245,1.7%
10,ISUZU,7,40,55,115,16,65,59,114,129,219,86,91,996,1.3%
11,HYUNDAI (PC),55,65,51,113,102,37,90,96,60,93,53,40,855,1.2%
12,TATA,99,33,124,44,12,24,34,58,45,118,108,99,798,1.1%
13,SCANIA,41,55,52,43,49,44,46,28,19,26,11,4,418,0.6%
14,MINI,1,6,97,42,36,25,51,52,93,12,1,-,416,0.6%
15,FAW,33,25,20,10,53,9,74,20,10,63,32,57,406,0.5%
16,VOLKSWAGEN,15,31,27,4,17,23,38,55,24,17,22,17,290,0.4%
17,RENAULT MAXINDO,-,-,-,-,34,28,26,37,19,37,40,29,250,0.3%
18,UD TRUCK,4,28,38,-,24,15,28,43,-,31,5,10,226,0.3%
19,BMW,2,-,12,17,15,11,13,13,27,10,16,5,141,0.2%
20,PEUGEOT,-,44,-,4,7,7,6,8,30,-,30,-,136,0.2%
21,MERCEDES-BENZ PC,-,-,-,-,-,-,-,-,-,-,30,25,55,0.1%
22,HINO,8,-,-,-,-,18,13,-,-,-,-,-,39,0.1%
23,AUDI,3,1,4,4,2,2,1,3,6,3,3,4,36,0%
24,MAN TRUCK,8,3,3,3,-,1,2,1,5,4,-,-,30,0%
25,MITSUBISHI FUSO,14,-,-,-,-,-,-,-,-,-,-,-,14,0%
26,NISSAN,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
27,PROTON,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
28,HYUNDAI KOMERSIAL,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
29,INFINITI,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
30,RENAULT,-,-,-,-,-,-,-,-,-,-,-,-,-,0%
TOTAL CBU (UNIT),,3306,8665,6334,5082,4728,7694,8919,6092,6345,8114,5028,3569,73876,100%
