1.   SEDAN  TYPE PRODUCTION                                   `JAN  JUL  2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Creta FL Style 1.5 IVT,"1,500",AT,G,40,"1,590",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,18,7,5,30,13,3,24,-,-,-,-,-,0.0%,0.0%,100
,,,,Creta FL Prime 1.5 IVT,"1,500",AT,G,40,"1,590",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,112,73,54,200,85,-,56,-,-,-,-,-,0.2%,0.1%,580
,,,,Creta FL Prime 1.5 IVT  Two Tone,"1,500",AT,G,40,"1,590",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,180,109,33,40,50,9,85,-,-,-,-,-,0.1%,0.1%,506
,,,,Creta FL N Line 1.5 IVT,"1,500",AT,G,40,"1,590",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,221,124,36,24,42,39,78,-,-,-,-,-,0.2%,0.1%,564
,,,,Creta FL N Line 1.5 IVT  Two Tone,"1,500",AT,G,40,"1,590",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,194,152,237,294,249,231,230,-,-,-,-,-,0.4%,0.3%,"1,587"
,,,,Creta FL N Line 1.5T  IVT,"1,500",AT,G,40,"1,590",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,65,34,-,-,-,12,2,-,-,-,-,-,0.0%,0.0%,113
,,,,Creta FL N Line 1.5T  IVT  Two Tone,"1,500",AT,G,40,"1,590",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,56,40,6,-,8,83,56,-,-,-,-,-,0.1%,0.1%,249
,,,,Kona EV Style,-,AT,BEV,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,2,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,2
,,,,Kona EV Prime Reguler,-,AT,BEV,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,-,10,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,10
,,,,Kona EV Signature Extended,-,AT,BEV,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,79,14,67,11,-,1,1,-,-,-,-,-,0.0%,0.0%,173
,,,,Kona EV Signature Extended Two Tone,-,AT,BEV,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,-,-,17,2,-,1,-,-,-,-,-,-,0.0%,0.0%,20
,,,,Kona EV N Line,-,AT,BEV,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,25,107,4,-,-,-,-,-,-,-,-,-,0.0%,0.0%,136
,,,,Kona EV N Line Two Tone,-,AT,BEV,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,4,32,1,-,-,1,-,-,-,-,-,-,0.0%,0.0%,38
,,,,Creta THI 1.5 AT  (Export),"1,500",AT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,-,1,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,1
,,,,Creta AP 1.5 AT  (Export),"1,500",AT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,57,-,1,12,-,6,11,-,-,-,-,-,0.0%,0.0%,87
,,,,Creta VIE 1.5 AT  (Export),"1,500",AT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,,Creta VIE 1.5 AT  (Export),"1,500",AT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,-,-,-,-,1,-,240,-,-,-,-,-,0.1%,0.1%,241
,,,,Creta MEA 1.5 MT  (Export),"1,500",MT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,1,-,-,-,-,-,0.0%,0.0%,1
,,,,Creta MEA 1.5 AT  (Export),"1,500",AT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,"1,328","2,640",880,898,952,"2,307","2,274",-,-,-,-,-,3.0%,2.5%,"11,279"
,,,,Creta PHI 1.5 MT  (Export),"1,500",MT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,,Creta PHI 1.5 AT  (Export),"1,500",AT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,-,-,-,152,230,170,130,-,-,-,-,-,0.2%,0.1%,682
,,,,Creta MEX 1.5 MT  (Export),"1,500",MT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,42,155,505,194,376,314,137,-,-,-,-,-,0.5%,0.4%,"1,723"
,,,,Creta MEX 1.5 AT  (Export),"1,500",AT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,28,813,"2,154","1,282","1,214",612,"1,584",-,-,-,-,-,2.1%,1.7%,"7,687"
,,,,Creta CSA 1.5 MT  (Export),"1,500",MT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,369,10,22,139,266,196,147,-,-,-,-,-,0.3%,0.3%,"1,149"
,,,,Creta CSA 1.5 AT  (Export),"1,500",AT,G,40,"1,660",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,388,219,233,515,488,464,482,-,-,-,-,-,0.7%,0.6%,"2,789"
,,,,Stargazer Active MT,"1,500",MT,G,40,"1,780",-,205/55/R15,115,"2,780",4460 x 1780 x 1695,7,4X2,FF,-,5,4,CKD,INA,3,-,-,6,9,1,10,-,-,-,-,-,0.0%,0.0%,29
,,,,Stargazer Active IVT,"1,500",AT,G,40,"1,830",-,205/55/R15,115,"2,780",4460 x 1780 x 1695,7,4X2,FF,-,5,4,CKD,INA,1,-,19,1,-,1,5,-,-,-,-,-,0.0%,0.0%,27
,,,,Stargazer Essential Tech 7 Seat,"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x 1780 x 1695,7,4X2,FF,-,5,4,CKD,INA,75,134,41,72,29,60,95,-,-,-,-,-,0.1%,0.1%,506
,,,,Stargazer Essential Tech 6 Seat,"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,82,127,25,176,75,121,96,-,-,-,-,-,0.2%,0.2%,702
,,,,Stargazer Prime 7 Seat,"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x 1780 x 1695,7,4X2,FF,-,5,4,CKD,INA,12,83,68,186,27,52,93,-,-,-,-,-,0.1%,0.1%,521
,,,,Stargazer Prime 6 Seat,"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,39,141,118,442,9,176,103,-,-,-,-,-,0.3%,0.2%,"1,028"
,,,,Stargazer Prime 7 Seat Two Tone,"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x 1780 x 1695,7,4X2,FF,-,5,4,CKD,INA,2,12,22,24,5,8,32,-,-,-,-,-,0.0%,0.0%,105
,,,,Stargazer Prime 6 Seat Two Tone,"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,6,23,43,71,8,109,34,-,-,-,-,-,0.1%,0.1%,294
,,,,Stargazer Essential MT  7 Seat,"1,500",MT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,10,10,-,-,-,5,2,-,-,-,-,-,0.0%,0.0%,27
,,,,Stargazer Essential MT  6 Seat,"1,500",MT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,8,-,-,-,-,-,0.0%,0.0%,8
,,,,Stargazer Essential IVT  7 Seat,"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,105,222,105,-,-,12,64,-,-,-,-,-,0.1%,0.1%,508
,,,,Stargazer Essential IVT  6 Seat,"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,145,196,66,39,48,3,25,-,-,-,-,-,0.1%,0.1%,522
,,,,Stargazer Cartenz Trend MT,"1,500",MT,G,-,-,-,-,-,"2,780",4575 x 1780 x 1695,7,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,1,-,-,-,-,-,0.0%,0.0%,1
,,,,Stargazer Cartenz Trend IVT,"1,500",AT,G,-,-,-,-,-,"2,780",4575 x 1780 x 1710,7,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,,Stargazer Cartenz Style MT  7 Seat,"1,500",MT,G,-,-,-,-,-,"2,780",4575 x 1780 x 1695,7,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,1,-,-,-,-,-,0.0%,0.0%,1
,,,,Stargazer Cartenz Prime HSS 7 Seat,"1,500",AT,G,-,-,-,-,-,"2,780",4575 x 1780 x 1710,7,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,27,-,-,-,-,-,0.0%,0.0%,27
,,,,Stargazer Cartenz Prime HSS 6 Seat,"1,500",AT,G,-,-,-,-,-,"2,780",4575 x 1780 x 1710,6,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,178,-,-,-,-,-,0.0%,0.0%,178
,,,,Stargazer X Prime 7 Seat,"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,115,2,70,-,39,9,23,-,-,-,-,-,0.1%,0.1%,258
,,,,Stargazer X Prime 6 Seat,"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,226,42,207,135,69,41,44,-,-,-,-,-,0.2%,0.2%,764
,,,,Stargazer X Prime 7 Seat Two Tone,"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,16,-,2,3,6,2,-,-,-,-,-,-,0.0%,0.0%,29
,,,,Stargazer X Prime 6 Seat Two Tone,"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,26,13,11,36,14,-,-,-,-,-,-,-,0.0%,0.0%,100
,,,,Stargazer VIE 1.5 IVT  (Export),"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,386,450,548,6,700,551,500,-,-,-,-,-,0.8%,0.7%,"3,141"
,,,,Stargazer PHI 1.5 IVT  (Export),"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,285,350,372,320,228,360,313,-,-,-,-,-,0.6%,0.5%,"2,228"
,,,,Stargazer AP 1.5 IVT  (Export),"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,25,45,35,35,90,90,90,-,-,-,-,-,0.1%,0.1%,410
,,,,Stargazer MEA 1.5 IVT  (Export),"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,-,-,-,-,15,4,1,-,-,-,-,-,0.0%,0.0%,20
,,,,Stargazer CSA 1.5 IVT  (Export),"1,500",AT,G,40,"1,830",-,205/55/R16,115,"2,780",4460 x 1780 x 1695,6,4X2,FF,-,5,4,CKD,INA,-,3,5,12,8,6,1,-,-,-,-,-,0.0%,0.0%,35
,,,,Ioniq5 Signature Extended,-,AT,BEV,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,16,-,-,-,-,-,0.0%,0.0%,16
,,,,Ioniq5 Signature N,-,AT,BEV,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,20,1,-,4,3,7,3,-,-,-,-,-,0.0%,0.0%,38
,,JAECOO,PT Handal Indonesia Motor,J7,"1,500",-,PHEV,-,-,-,-,-,-,-,-,4X2,-,-,-,-,CKD,INA,-,-,-,-,3,161,252,-,-,-,-,-,0.1%,0.1%,416
,,JETOUR,PT Handal Indonesia Motor,Dashing Journey,"1,498",AT,G,57,"1,513",-,18,156,"2,720",4590 x 1900 x 1685,5,4X2,FF,-,5,4,CKD,INA,4,-,5,46,17,-,1,-,-,-,-,-,0.0%,0.0%,73
,,,,Dashing Inspira,"1,498",AT,G,57,"1,550",-,19,156,"2,720",4590 x 1900 x 1685,5,4X2,FF,-,5,4,CKD,INA,2,39,56,18,51,15,8,-,-,-,-,-,0.1%,0.0%,189
,,,,X70P Journey,"1,498",AT,G,57,"1,551",-,19,156,"2,720",4724 x 1900 x 1720,7,4X2,FF,-,5,4,CKD,INA,-,-,47,-,9,2,-,-,-,-,-,-,0.0%,0.0%,58
,,,,X70P Inspira,"1,498",AT,G,57,"1,576",-,19,156,"2,720",4724 x 1900 x 1720,7,4X2,FF,-,5,4,CKD,INA,-,-,20,92,7,3,1,-,-,-,-,-,0.0%,0.0%,123
,,MITSUBISHI MOTORS,PT. Mitsubishi Motors Krama Yudha Indonesia,Xpander 1.5 2WD 4AT  M YET,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,-,25,-,-,-,147,53,-,-,-,-,-,0.1%,0.0%,225
,,,,Xpander 1.5 2WD 4AT  H YET,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,-,125,-,-,-,204,71,-,-,-,-,-,0.1%,0.1%,400
,,,,Xpander 1.5 2WD 4AT  Q VET,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,"1,129","1,475",820,"1,127",195,1,"1,543",-,-,-,-,-,1.7%,1.4%,"6,290"
,,,,Xpander 1.5 2WD 4AT  Q VET,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,,Xpander 1.5 2WD 5MT  H PHL,"1,499",MT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,35,204,171,138,99,84,164,-,-,-,-,-,0.2%,0.2%,895
,,,,Xpander 1.5 2WD 4AT  H PHL,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,,Xpander 1.5 2WD 4AT  H PHL,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,101,560,400,373,235,197,449,-,-,-,-,-,0.6%,0.5%,"2,315"
,,,,Xpander 1.5 2WD 4AT  P PHL,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,403,"1,973","1,196","1,024","1,292","2,067",498,-,-,-,-,-,2.3%,1.8%,"8,453"
,,,,Xpander 1.5 2Wd 4At M Bol & Arb,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4476 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,-,-,-,-,-,-,10,-,-,-,-,-,0.0%,0.0%,10
,,,,Xpander 1.5 2Wd 4AT  Q Bgd,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4477 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,2,-,5,-,8,10,22,-,-,-,-,-,0.0%,0.0%,47
,,,,Xpander 1.5L Exceed (4X2) M/T,"1,499",MT,G,45,"1,840","4,375",205/55 R17,105,"2,775",4500 X 1800 X 1750,7,4X2,FF,-,4,4,CKD,INA,173,162,72,37,114,324,151,-,-,-,-,-,0.3%,0.2%,"1,033"
,,,,Xpander 1.5L Gls (4X2) M/T,"1,499",MT,G,45,"1,840","4,375",205/55 R17,105,"2,775",4500 X 1800 X 1750,7,4X2,FF,-,4,4,CKD,INA,206,17,-,19,70,72,41,-,-,-,-,-,0.1%,0.1%,425
,,,,Xpander Cross 1.5L (4X2) M/T,"1,499",MT,G,45,"1,840","4,375",205/55 R17,105,"2,775",4500 X 1800 X 1750,7,4X2,FF,-,4,4,CKD,INA,118,145,65,42,212,323,141,-,-,-,-,-,0.3%,0.2%,"1,046"
,,,,Xpander 1.5 Asg 2Wd Cvt M,"1,499",AT,G,45,"1,840","4,375",205/55 R17,105,"2,775",4500 X 1800 X 1750,7,4X2,FF,-,4,4,CKD,INA,2,-,-,19,173,52,101,-,-,-,-,-,0.1%,0.1%,347
,,,,Xpander 1.5 Asg 2Wd Cvt H,"1,499",AT,G,45,"1,840","4,375",205/55 R17,105,"2,775",4500 X 1800 X 1750,7,4X2,FF,-,4,4,CKD,INA,276,254,108,41,265,719,240,-,-,-,-,-,0.5%,0.4%,"1,903"
,,,,Xpander 5MT,"1,499",MT,G,45,"1,840","4,375",205/55 R17,105,"2,775",4500 X 1800 X 1750,7,4X2,FF,-,4,4,CKD,INA,87,110,47,21,117,200,49,-,-,-,-,-,0.2%,0.1%,631
,,,,Xpander CVT,"1,499",AT,G,45,"1,840","4,375",205/55 R17,105,"2,775",4500 X 1800 X 1750,7,4X2,FF,-,4,4,CKD,INA,920,"1,250",544,205,"1,042","1,353",813,-,-,-,-,-,1.6%,1.3%,"6,127"
,,,,Xpander Cross 1.5 Asg 2Wd Cvt P2X,"1,499",AT,G,45,"1,840","4,375",205/55 R17,105,"2,775",4500 X 1800 X 1750,7,4X2,FF,-,4,4,CKD,INA,494,814,363,141,713,"1,173",841,-,-,-,-,-,1.2%,1.0%,"4,539"
,,,,Xpander Cross 1.5 2WD 4AT  P+ PHL,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1750 X 1800,7,4X2,FF,-,4,4,CKD,INA,19,455,607,551,469,"1,227",560,-,-,-,-,-,1.0%,0.8%,"3,888"
,,,,Xpander 1.5 2WD 5MT  M PE,"1,499",MT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1750 X 1800,7,4X2,FF,-,4,4,CKD,INA,91,154,-,65,100,65,250,-,-,-,-,-,0.2%,0.2%,725
,,,,Xpander 1.5 2WD 4AT  H PE,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1750 X 1800,7,4X2,FF,-,4,4,CKD,INA,15,27,-,12,20,10,35,-,-,-,-,-,0.0%,0.0%,119
,,,,Xpander Cross 1.5 2WD 4AT  Q VET,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1750 X 1800,7,4X2,FF,-,4,4,CKD,INA,614,"1,086",401,17,742,7,987,-,-,-,-,-,1.0%,0.8%,"3,854"
,,,,Xpander 1.5 2WD 4AT  H GCC,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4476 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,30,16,119,7,40,5,100,-,-,-,-,-,0.1%,0.1%,317
,,,,Xpander 1.5 2WD 4AT  H GCC,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1750 X 1800,7,4X2,FF,-,4,4,CKD,INA,20,45,115,2,-,-,-,-,-,-,-,-,0.0%,0.0%,182
,,,,Xpander 1.5 2WD 4AT  M GCC,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1750 X 1800,7,4X2,FF,-,4,4,CKD,INA,30,26,104,3,53,5,127,-,-,-,-,-,0.1%,0.1%,348
,,,,Xpander 1.5 2WD 4AT  H SAU,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1750 X 1800,7,4X2,FF,-,4,4,CKD,INA,130,140,120,-,-,349,350,-,-,-,-,-,0.3%,0.2%,"1,089"
,,,,Xpander 1.5 2WD 5MT  M ZAF,"1,499",MT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1750 X 1800,7,4X2,FF,-,4,4,CKD,INA,11,74,85,-,-,-,-,-,-,-,-,-,0.0%,0.0%,170
,,,,Xpander 1.5 2WD 4AT  H ZAF,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1750 X 1800,7,4X2,FF,-,4,4,CKD,INA,4,61,30,-,-,-,-,-,-,-,-,-,0.0%,0.0%,95
,,,,Xpander Cross 1.5 2WD 4AT  P MUS,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1750 X 1800,7,4X2,FF,-,4,4,CKD,INA,13,26,14,1,-,-,-,-,-,-,-,-,0.0%,0.0%,54
,,,,Xpander Cross 1.5 2WD 4AT  H PE,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1750 X 1800,7,4X2,FF,-,4,4,CKD,INA,17,88,-,50,45,45,45,-,-,-,-,-,0.1%,0.1%,290
,,,,Xpander 1.5 2WD 4AT  P MEX,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,25,111,201,100,2,186,294,-,-,-,-,-,0.2%,0.2%,919
,,,,Xpander Cross 1.5 2WD 4AT  H MEX,"1,499",AT,G,45,"1,780","4,375",205/55 R17,104,"2,775",4500 X 1750 X 1800,7,4X2,FF,-,4,4,CKD,INA,46,493,200,250,406,462,710,-,-,-,-,-,0.7%,0.6%,"2,567"
,,,,Xpander 1.5 2WD 4AT  H BD,"1,499",AT,G,45,"1,780","4,375",205/55 R16,104,"2,775",4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA,-,30,19,11,10,10,-,-,-,-,-,-,0.0%,0.0%,80
