NO.,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,TOTAL
,,,M8 Gran Coupe A/T,"4,395",AT,G,68,"2,440",-,275/35 ZR20 102Y; 285/35 ZR20 104Y,625,"3,027",5098x1943x1420,-,4X4,4WD,-,-,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,840i Coupe A/T,"2,998",AT,G,68,"2,225",-,245/35 R20 95Y; 275/30 R20 97Y,340,"2,822",4843x1902x1341,-,4X2,FR,-,-,4,CBU,Germany,-,-,2,3,-,2,5,3,-,7,-,-,22
,,,840i Gran Coupe A/T,"2,998",AT,G,68,"2,435",-,245/35 R20 95Y; 275/30 R20 97Y,340,"3,023",5074x1932x1401,-,4X2,FR,-,-,4,CBU,Germany,-,-,1,2,-,1,2,-,-,1,-,-,7
,,,i440 Gran Coupe A/T,-,AT,EV,-,"2,605",-,245/40 R19 98Y; 255/40 R19 100Y,-,"2,856",4783 x 1852 x 1448,-,4X2,RR,-,-,4,CBU,Germany,-,-,-,1,-,1,-,-,-,-,1,1,4
,,,X3 M RHD A/T,"2,993",AT,G,65,"2,500",-,255/40 ZR21 102Y; 265/40 ZR21 105Y,510,"2,864",4716 x 1897 x 1669,-,4X4,4WD,-,-,4,CBU,USA,-,-,2,1,-,1,2,-,-,-,1,-,7
,,,X4 M A/T,"2,993",AT,G,65,"2,500",-,255/40 ZR21 102Y; 265/40 ZR21 105Y,510,"2,864",4758x1927x1618,-,4X4,4WD,-,-,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,X4 M RHD A/T,"2,993",AT,G,65,"2,500",-,255/40 ZR21 102Y; 265/40 ZR21 105Y,510,"2,864",4754 x 1927 x 1620,-,4X4,4WD,-,-,4,CBU,USA,-,-,3,1,1,3,3,-,-,2,-,-,13
,,,X4 xDrive30i RHD A/T,"1,998",AT,G,65,"2,450",-,245/45 R20 103W; 275/40 R20 106W,252,"2,864",4751 x 1918 x 1621,-,4X4,4WD,-,-,4,CBU,USA,-,-,1,9,1,1,-,1,1,-,-,-,14
,,,X5 M A/T,"4,395",AT,G,83,"3,000",-,295/35 ZR21 107Y; 315/30 ZR22 107Y,625,"2,972",4938 x 2015 x 1747,-,4X4,4WD,-,-,4,CBU,Germany,-,-,-,-,-,1,-,-,-,-,-,-,1
,,,X6 xDrive40i A/T,"2,998",AT,G,83,"2,800",-,275/40 R21 107Y; 315/35 R21 111Y,340,"2,975",4935x2004x1696,-,4X4,4WD,-,-,4,CBU,Germany,-,-,3,18,6,1,-,-,-,-,-,-,28
,,,iX xDrive40 A/T,-,AT,EV,-,"3,010",-,255/50 R21 109Y,-,"3,000",4953 x 1967 x 1695,-,4X4,4WD,-,-,4,CBU,Germany,-,-,-,1,-,-,1,1,-,1,-,-,4
,,,TOTAL,,,,,,,,,,,,,,,,,,,-,-,48,55,8,111,42,22,1,36,36,20,379
9,PT. TJAHJA SAKTI MOTOR,MINI,Cooper Hatch A/T,"1,499",AT,G,40,"1,595",-,205/45 R17 88W,-,"2,495",3821 x 1727 x 1414,-,4X2,FR,-,-,4,CBU,UK,-,-,15,8,1,-,1,2,-,-,-,-,27
,,,Cooper S Hatch A/T,"1,998",AT,G,44,"1,635",-,205/45 R17 88W,-,"2,495",3850 x 1727 x 1414,-,4X2,FR,-,-,4,CBU,UK,-,-,25,22,4,18,22,15,-,-,40,8,154
,,,Cooper SE Hatch A/T,-,AT,EV,-,"1,775",-,205/45 R17 88W,-,"2,495",3850 x 1727 x 1432,-,4X2,FF,-,-,4,CBU,UK,-,-,-,-,5,-,5,5,-,-,13,4,32
,,,John Cooper Works Hatch A/T,"1,998",AT,G,44,"1,710",-,205/40 R18 86W,-,"2,495",3874 x 1727 x 1414,-,4X2,FR,-,-,4,CBU,UK,-,-,13,9,2,3,3,2,-,-,-,-,32
,,,Cooper 5 Door A/T,"1,499",AT,G,40,"1,710",-,205/45 R17 88W,-,"2,567",3982 x 1727 x 1425,-,4X2,FR,-,-,4,CBU,UK,-,-,5,-,-,-,2,-,-,-,-,-,7
,,,Cooper S 5 Door A/T,"1,998",AT,G,44,"1,770",-,205/45 R17 88W,-,"2,567",4005 x 1727 x 1425,-,4X2,FR,-,-,4,CBU,UK,-,-,7,-,4,3,1,-,-,-,-,-,15
,,,Cooper Clubman A/T,"1,499",AT,G,48,"1,890",-,225/45 R17 94Y,136,"2,670",4266 x 1800 x 1441,-,4X2,FR,-,4,4,CBU,UK,-,-,5,1,-,2,5,-,-,-,-,-,13
,,,Cooper S Clubman A/T,"1,998",AT,G,48,"1,945",-,225/40 R18 92Y,192,"2,670",4266 x 1800 x 1441,-,4X2,FR,-,4,4,CBU,UK,-,-,5,7,-,2,5,-,-,-,-,-,19
,,,John Cooper Works ALL4 Clubman A/T,"1,998",AT,G,-,"2,070",-,225/35 R19 88Y,-,"2,670",4253 x 1800 x 1441,-,4X4,4WD,-,-,4,CBU,UK,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,John Cooper Works ALL4 Clubman A/T,"1,998",AT,G,48,"2,040",-,225/40 R18 92Y,306,"2,670",4266 x 1800 x 1441,-,4X4,4WD,-,-,4,CBU,UK,-,-,1,2,-,2,2,1,-,-,-,-,8
,,,Cooper Convertible A/T,"1,499",AT,G,-,"1,695",-,205/45 R17 88W,-,"2,495",3821 x 1727 x 1415,-,4X2,FR,-,-,4,CBU,Germany,-,-,4,-,-,1,1,2,-,-,-,-,8
,,,Cooper S Convertible A/T,"1,998",AT,G,-,"1,745",-,205/45 R17 88W,-,"2,495",3850 x 1727 x 1415,-,4X2,FR,-,-,4,CBU,Germany,-,-,7,2,-,5,1,5,-,-,-,-,20
,,,John Cooper Works Convertible A/T,"1,998",AT,G,44,"1,795",-,205/40 R18 86W,231,"2,495",3874 x 1727 x 1415,-,4X2,FR,-,-,4,CBU,Germany,-,-,2,-,-,3,-,1,-,-,-,-,6
,,,John Cooper Works ALL4 A/T,"1,998",AT,G,-,"2,150",-,225/45 R19 92W,-,"2,670",4299 x 1822 x 1557,-,4X4,4WD,-,3,4,CBU,Germany,-,-,-,1,-,-,1,1,-,-,-,-,3
,,,TOTAL,,,,,,,,,,,,,,,,,,,-,-,89,52,16,39,49,34,-,-,53,12,344
10,PT. TJAHJA SAKTI MOTOR,PEUGEOT,New 3008 AT,"1,598",AT,G,60,"1,459",6,225/50 R17,163,"2,613",4.365 x 1.836 x 1.639,5,4X2,FF,-,5,4,CBU,Perancis,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,New 5008 AT Allure,"1,598",AT,G,60,"1,459",6,215/50 R17,156,"2,727",4.529 x 2.118 x 1.644,7,4X2,FF,-,5,4,CBU,Malaysia,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,TOTAL,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-
13,PT. GAYA MAKMUR MOBIL,FAW,TRACTOR HEAD (FD420TH),"11,040",MT,D,500,"80,000",5,R20-12.00,420,450 + 13,7038 x 2490 x 3400,3,6X4,FR,84,2,10,CBU,China,-,-,10,-,-,-,-,-,10,-,-,-,20
,,,TRACTOR HEAD (FD460TH),"11,050",MT,D,400,"100,000",6,R20-12.00,460,310 + 13,6895 x 2500 x 3505,2,6X4,FR,85,2,10,CBU,China,-,-,-,-,-,-,-,-,-,-,-,17,17
,,,TRACTOR HEAD (FD550TH),"12,540",MT,D,600,"150,000",6,R20-12.00,550,300 + 13,6875 x 2500 x 3995,2,6X4,FR,95,2,10,CBU,China,-,-,-,-,-,-,-,6,-,-,-,-,6
,,,CHASSIS (DD130CG),"4,214",MT,D,80,"7,800",5,R16-750,130,"3,860",6860 x 2500 x 2600,2,4X4,4WD,90,2,6,CBU,China,-,-,-,-,-,10,-,-,-,-,-,-,10
,,,CHASSIS (FB240CG),"6,600",MT,D,300,"33,000",5,R20-11.00,240,885 + 13,11955 x 2500 x 3250,2,6X2,FR,85,2,10,CBU,China,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,CHASSIS (FD290CG),"7,700",MT,D,300,"26,500",5,R20-11.00,290,885 + 13,11945 x 2485 x 3030,2,6X4,FR,85,2,10,CBU,China,-,-,-,-,-,-,-,-,-,-,-,12,12
,,,CHASSIS (FD280CG),"7,700",MT,D,300,"26,000",5,R20-10.00,280,865 + 13,11645 x 2470 x 2870,2,6X4,FR,85,2,10,CBU,China,-,-,-,-,-,5,5,-,-,-,-,-,10
,,,DUMP TRUCK (FD340DT),"9,726",MT,D,400,"25,000",6,R20-12.00,340,150 + 13,7843 x 2550 x 2550,2,6X4,FR,76,2,10,CBU,China,28,-,-,-,-,-,-,-,10,-,-,-,38
,,,DUMP TRUCK (HD360DT),"9,726",MT,D,400,"38,000",6,R20-12.00,360,+3700,10228 x 2490 x 3305,2,8X4,FR,74,2,12,CBU,China,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DUMP TRUCK (HD380DT),"9,726",MT,D,400,"31,000",6,R24-12.00,380,+3910,9563 x 2550 x 2550,2,8X4,FR,80,2,12,CBU,China,20,-,-,-,-,-,-,-,-,-,-,-,20
,,,DUMP TRUCK (FD280DT),"7,700",MT,D,300,"26,000",5,R20-10.00,280,200 + 13,8900 x 2490 x 2850,2,6X4,FR,83,2,10,CBU,China,-,-,-,-,-,-,-,-,10,-,-,-,10
,,,DUMP TRUCK (FD290DT),"7,700",MT,D,300,"26,500",5,R20-11.00,290,200 + 13,8945 x 2495 x 3240,2,6X4,FR,90,2,10,CBU,China,-,-,-,-,-,-,-,-,-,-,-,20,20
,,,MIXER TRUCK (FD280MT),"7,700",MT,D,300,"26,000",5,R20-10.00,280,500 + 13,8480 x 2468 x 3660,2,6X4,FR,83,2,10,CBU,China,-,-,-,-,-,15,-,-,-,-,-,-,15
,,,TOTAL,,,,,,,,,,,,,,,,,,,48,-,10,-,-,30,5,6,30,-,-,49,178
12,PT. ISUZU ASTRA MOTOR INDONESIA,ISUZU,D-MAX SC,"2,499",MT,D,76,"2,750","4,100",245/70/R16,109,"3,095","5,215 x 1,860 x 1,780",3,4X4,4WD,-,2,4,CBU,Thailand,-,5,19,20,17,-,64,-,-,-,-,10,135
,,,D-MAX DC,"2,499",MT,D,76,"2,750","4,100",245/70/R16,109,"3,095","5,190 x 1,860 x 1,785",5,4X4,4WD,-,4,4,CBU,Thailand,-,15,8,41,280,42,246,63,-,62,58,204,"1,019"
,,,D-MAX Rodeo MT,"2,499",MT,D,76,"2,750","4,300",245/70/R16,109,"3,095","5,190 x 1,860 x 1,785",5,4X4,4WD,-,4,4,CBU,Thailand,-,-,45,-,-,25,28,-,-,-,-,21,119
,,,D-MAX Rodeo AT,"2,999",AT,D,76,"2,750","3,909",255/65/R17,136,"3,095","5,295 x 1,860 x 1,795",5,4X4,4WD,-,4,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,MU-X RBD1,"2,499",AT,D,47,"2,540",-,-,-,-,-,7,4X2,-,-,5,4,CBU,Thailand,-,-,-,-,-,-,-,6,50,-,-,-,56
,,,MU-X RBD3,"2,499",MT,D,47,"2,540",-,-,-,-,-,7,4X4,-,-,5,4,CBU,Thailand,-,-,-,-,2,-,-,3,-,-,-,-,5
,,,MU-X 4X4,"2,499",-,D,47,"2,540",-,-,-,-,-,7,4X4,-,-,5,4,CBU,Thailand,1,10,34,20,11,1,-,6,-,30,30,71,214
,,,NPS 75,"4,570",MT,D,100,"8,250","5,857",7.50-15-14PR,125,"3,360","6,000x1,990x2,280",3,4X2,FR,102,2,6,CBU,Thailand,6,10,1,4,7,36,22,6,12,64,17,13,198
,,,TOTAL,,,,,,,,,,,,,,,,,,,7,40,107,85,317,104,360,84,62,156,105,319,"1,746"
13,PT. EUROKARS MOTOR INDONESIA,MAZDA,All-new Mazda 6 Elite,"2,488",AT,G,64,-,"4,056",225/45R19,187,"2,830",4865 x 1840 x 1450,5,4X2,FF,-,4,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,New Mazda 6 Elite Sedan,"2,488",AT,G,64,-,"4,056",225/45R19,187,"2,830",4865 x 1840 x 1450,5,4X2,FF,-,4,4,CBU,Japan,3,3,-,-,-,-,-,24,10,2,2,3,47
,,,MX-5 RF,"1,999",AT,G,50,-,"3,863",205/45R17,160,"2,330",4020 x 1720 x 1255,2,4X2,FF,-,4,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,4,-,4
,,,Mazda 2 R AT IPM,"1,498",AT,G,43,-,"4,147",195/45R16,103,"2,490",3913 x 1695 x 1475,5,4X2,FF,-,5,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,Mazda 2 GT AT IPM,"1,498",AT,G,43,-,"4,147",195/45R16,103,"2,490",3913 x 1695 x 1475,5,4X2,FF,-,5,4,CBU,Thailand,-,31,36,16,4,33,32,32,13,1,-,10,208
,,,Mazda 2 Elite AT IPM,"1,498",AT,G,44,-,-,185/60R16,111,"2,570",4065 x 1695 x 1495,5,4X2,FF,-,5,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,New Mazda 2 Sedan,"1,496",AT,G,44,-,-,185/60R16,111,"2,570",4340 x 1695 x 1479,5,4X2,FF,-,4,4,CBU,Thailand,-,-,-,-,-,-,47,64,88,32,17,26,274
,,,New CX-3 Pro,"1,998",AT,G,48,-,-,215/50R18,149,"2,570",4275 x 1765 x 1535,5,4X2,FF,-,5,4,CBU,Japan,2,-,-,9,2,8,1,-,1,-,-,-,23
,,,New CX-3 Sport,"1,998",AT,G,48,-,-,215/50R18,149,"2,570",4275 x 1765 x 1535,5,4X2,FF,-,5,4,CBU,Japan,48,6,1,171,62,155,8,8,44,48,45,230,826
,,,All New Mazda 3 Hatchback,"1,998",AT,G,51,-,-,215/45R18,155,"2,725","4,460 x 1,795 x 1,435",5,4X2,FF,-,5,4,CBU,Japan,3,2,1,32,3,8,3,21,-,17,2,20,112
,,,All New Mazda 3 Sedan,"1,998",AT,G,51,-,-,215/45R18,155,"2,725","4,660 x 1,795 x 1,440",5,4X2,FF,-,5,4,CBU,Japan,-,-,-,4,-,1,3,1,5,14,-,9,37
,,,Mazda 6 Estate Elite,"2,488",AT,G,62,-,-,225/45R19,192,"2,750","4,800 x 1,840 x 1,480",5,4X2,FF,-,5,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,New Mazda 6 Elite Estate,"2,488",AT,G,62,-,-,225/45R19,192,"2,750","4,800 x 1,840 x 1,480",5,4X2,FF,-,5,4,CBU,Japan,8,7,-,-,-,1,1,35,18,4,3,2,79
,,,New CX-5 GT,"2,488",AT,G,56,-,"4,325",225/55R19,187,"2,700",4540 x 1840 x 1710,5,4X2,FF,-,5,4,CBU,Malaysia,140,9,-,-,-,2,1,-,-,-,-,-,152
,,,New CX-5 Elite,"2,488",AT,G,56,-,-,225/55R19,190,"2,700",4550 x 1840 x 1680,5,4X2,FF,-,5,4,CBU,Japan,-,-,17,260,164,35,120,105,138,277,290,96,"1,502"
,,,CX-30 Touring,"1,998",AT,G,51,-,,215/55R18,155,"2,655",4395 x 1795 x 1540,5,4X2,FF,,5,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,CX-30 GT,"1,998",AT,G,51,-,,215/55R18,155,"2,655",4395 x 1795 x 1540,5,4X2,FF,,5,4,CBU,Japan,1,-,1,43,-,61,35,43,18,10,-,1,213
,,,New CX-9,"2,488",AT,G,72,-,-,255/50R20,231,"2,930",5075 x 1969 x 1747,7,4X2,FF,-,5,4,CBU,Japan,3,-,10,34,1,1,15,3,5,12,22,11,117
,,,New CX-9 AWD,"2,488",AT,G,74,-,-,255/50R20,231,"2,930",5075 x 1969 x 1747,7,4X4,4WD,-,5,4,CBU,Japan,-,-,4,12,-,4,9,-,2,18,18,6,73
,,,CX-8 Touring,"2,488",AT,G,72,-,-,255/50R20,231,"2,930",5075 x 1969 x 1747,7,4X2,FF,-,5,4,CBU,Malaysia,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,New CX-8 Elite,"2,488",AT,G,72,-,-,225/55R19,190,"2,930",4900 x 1840 x 1730,6,4X2,FF,-,5,4,CBU,Malaysia,-,-,-,-,-,-,65,26,6,19,1,4,121
,,,CX-8 Elite,"2,488",AT,G,72,-,-,255/50R20,231,"2,930",5075 x 1969 x 1747,7,4X2,FF,-,5,4,CBU,Malaysia,-,-,40,46,9,5,-,-,-,-,-,-,100
,,,TOTAL,,,,,,,,,,,,,,,,,,,208,58,110,627,245,314,340,362,348,454,404,418,"3,888"
14,PT. GARUDA MATARAM MOTOR,VOLKSWAGEN,Polo 1.2 GT TSI AT,"1,200",AT,G,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CBU,India,2,-,6,4,3,5,7,6,3,2,3,5,46
,,,T-Cross 1.0 TSI AT,999,AT,G,50,-,-,205/55 R17,115,"2,651","4,221X1,760X1,612",5,4X2,FF,-,5,4,CBU,India,-,-,2,-,-,-,-,5,5,3,3,-,18
,,,TOTAL,,,,,,,,,,,,,,,,,,,2,-,8,4,3,5,7,11,8,5,6,5,64
15,PT. GARUDA MATARAM MOTOR,AUDI,A5 2.0 TFSI,"1,984",AT,G,63,"1,465","3,778",255/35/R18,211,"2,810",4625 x 1884 x 1372,5,4X4,4WD,-,2,4,CBU,Germany,-,-,-,-,-,-,1,1,-,-,1,1,4
,,,A5 2.0 TFSI A/T SB,"1,984",AT,G,54,"1,490",-,245/40/R18,190,"2,824",4757 x 1843 x 1386,5,4X2,FF,241,5,4,CBU,Germany,-,-,1,-,-,-,-,2,1,-,-,2,6
,,,A6 2.0TFSI AT,"1,984",AT,G,65,"1,635","3,667",245/45/R18,180,"2,912",4915 x 1874 x 1455,5,4X2,FF,226,4,4,CBU,Germany,1,-,-,-,-,1,-,-,1,-,-,2,5
,,,Q3 1.4 TFSI A/T,"1,400",AT,G,64,-,-,-,-,-,-,5,4X4,4WD,250,4,4,CBU,Germany,-,-,-,3,-,-,-,-,-,1,-,1,5
,,,Q5 2.0 TFSI AT,"1,984",AT,G,75,"1,845","3,692",255/55/R19,225,"2,807",4629 x 1880 x 1653,5,4X4,4WD,222,4,4,CBU,Germany,-,-,-,2,1,5,-,-,2,1,-,3,14
,,,Q7 3.0 TFSI AT,"2,995",AT,G,100,"2,245","4,845",265/50/R19,272,"3,002",5089 x 2002 x 1695,7,4X4,4WD,222,4,4,CBU,Germany,-,-,-,-,-,-,-,-,1,-,-,1,2
,,,Q8 3.0 TFSI A/T,"2,995",AT,G,100,"2,245","4,845",265/50/R19,272,"3,002",5089 x 2002 x 1695,7,4X4,4WD,222,4,4,CBU,Germany,-,-,-,-,-,3,4,2,1,1,1,1,13
,,,RS4 2.9 TFSI A/T,"2,900",AT,G,58,-,-,-,-,-,-,5,4X4,4WD,-,5,4,CBU,Germany,-,-,-,2,-,1,1,-,-,-,-,-,4
,,,RS5 2.9 TFSI A/T,"2,900",AT,G,61,-,-,-,-,-,-,5,4X4,4WD,-,5,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,TOTAL,,,,,,,,,,,,,,,,,,,1,-,1,7,1,10,6,5,6,3,2,11,53
16,PT. HYUNDAI MOTORS INDONESIA (HMID),HYUNDAI - HMID,Kona EV,-,AT,EV,-,"2,020",-,215/55/R17,-,"2,600",4180 x 1800 x 1570,5,4X4,-,-,5,4,CBU,South Korea,20,-,-,-,-,-,-,-,-,-,-,-,20
,,,Ioniq EV Prime,-,AT,EV,-,"1,970",-,205/60/R16,-,"2,700",4470 x 1820 x 1475,5,4X4,-,-,5,4,CBU,South Korea,-,-,4,-,-,-,-,-,-,-,-,-,4
,,,Ioniq EV Signature,-,AT,EV,-,"1,970",-,205/60/R16,-,"2,700",4470 x 1820 x 1475,5,4X4,-,-,5,4,CBU,South Korea,19,-,22,-,-,-,-,-,-,-,-,-,41
,,,Genesis G80 EV,-,AT,EV,-,"2,265",-,245/45/R19,-,"3,010",5005 x 1925 x 1475,5,4X2,-,-,5,4,CBU,South Korea,-,-,-,8,9,6,-,-,101,14,7,-,145
,,,Santa Fe D2.2 8DCT Prime,"2,200",AT,D,67,"2,550",-,235/60/18,202,"2,765",4785 x 1900 x 1710,5,4X4,FF,-,5,4,CBU,South Korea,15,-,-,-,-,-,-,-,-,-,-,-,15
,,,Santa Fe D2.2 8DCT Signature,"2,200",AT,D,67,"2,550",-,235/60/18,202,"2,765",4785 x 1900 x 1710,5,4X4,FF,-,5,4,CBU,South Korea,71,34,-,-,-,-,-,-,-,-,-,-,105
,,,Santa Fe G2.5 6AT Style,"2,500",AT,G,67,"2,510",-,235/60/18,180,"2,765",4785 x 1900 x 1710,5,4X4,FF,-,5,4,CBU,South Korea,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,Santa Fe G2.5 6AT Prime,"2,500",AT,G,67,"2,510",-,235/60/18,180,"2,765",4785 x 1900 x 1710,5,4X4,FF,-,5,4,CBU,South Korea,5,-,-,-,-,-,-,-,-,-,-,-,5
,,,Santa Fe G2.5 6AT Signature,"2,500",AT,G,67,"2,510",-,235/60/18,180,"2,765",4785 x 1900 x 1710,5,4X4,FF,-,5,4,CBU,South Korea,23,2,4,-,-,-,-,-,-,-,-,-,29
,,,Palisade 2.2 CRDi,"2,200",AT,D,71,"2,670",-,245/50/20,200,"2,900",4980 x 1975 x 1750,7,4X4,FF,-,5,4,CBU,South Korea,136,227,95,427,151,2,179,79,120,40,60,-,"1,516"
,,,Palisade 2.2 CRDi AWD,"2,200",AT,D,71,"2,690",-,245/50/20,200,"2,900",4980 x 1975 x 1750,7,4X4,FF,-,5,4,CBU,South Korea,28,55,-,-,20,-,32,4,-,-,-,-,139
,,,Staria Signature 7,"2,200",AT,D,75,"2,930",-,235/55/18,177,"3,273",5253 x 1997 x 1990,7,4X4,FF,-,5,4,CBU,South Korea,48,32,13,2,-,-,-,-,-,-,-,-,95
,,,Staria Signature 9,"2,200",AT,D,75,"3,120",-,235/55/18,177,"3,273",5253 x 1997 x 1990,9,4X4,FF,-,5,4,CBU,South Korea,37,42,43,21,-,-,-,-,-,-,-,-,143
,,,TOTAL,,,,,,,,,,,,,,,,,,,402,392,181,458,180,8,211,83,221,54,67,-,"2,257"
17,PT. TATA MOTORS DISTRIBUSI  INDONESIA,TATA MOTOR,Intra V20 Ac,"1,396",MT,D,35,"2,320",4,165 R14 - 8 PR,70,"2,250",2450 x 1540 x 400,2,4X2,FR,80,2,4,CBU,India,-,-,-,-,18,15,-,-,-,-,-,-,33
,,,Intra V20 Non Ac,"1,396",MT,D,35,"2,300",4,165 R14 - 8 PR,70,"2,250",2450 x 1540 x 400,2,4X2,FR,80,2,4,CBU,India,-,-,-,-,-,-,-,-,-,9,9,-,18
,,,Prima Lx  2528.K,"6,700",MT,D,260,"25,000",6,10 x 20 - 16 PR NT,266,"4,570",7905 x 2500 x 3130,2,6X4,FR,100,2,10,CBU,India,-,42,-,-,-,-,-,29,-,-,-,-,71
,,,Prima 3338.K,"8,898",MT,D,260,"33,000",7,12R 24,380,"5,250",8488 x 2590 x 3232,2,8X4,FR,66,2,14,CBU,India,-,10,2,-,2,-,9,1,-,-,-,-,24
,,,Lpt 1412,"5,675",MT,D,160,"13,850",5,8.25R20 -16PR,125,"4,200",6096 x 2175 x 1835,2,4X2,FR,96,2,6,CBU,India,-,2,-,-,-,-,-,4,-,-,-,-,6
,,,TOTAL,,,,,,,,,,,,,,,,,,,-,54,2,-,20,15,9,34,-,9,9,-,152
18,PT. UNITED TRACTORS Tbk,SCANIA,P360CB-4X4,"13,000",MT,D,300,"24,500",5.14,12.00 R24,360,"5,100",10558 x 2500 x 3121,2,4X4,FF,9,2,4,CBU,Swedia,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,P410CB-4X4,"13,000",MT,D,300,"24,500",5.14,14.00 R20,410,"4,500",8211 x 2500 x 3062,2,4X4,FF,6,2,4,CBU,Swedia,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,TOTAL,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-
