NO.,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,TOTAL
19,PT. ASTRA INTERNATIONAL UD TRUCKS SALES OPERATION,UD TRUCK,CKE25042R,"7,698",MT,D,315,"21,000","5,570","11,00-20-16PR",250,"5,200","8,975 x 2,500 x 3,220",3,4X2,FR,90,2,6,CBU,Thailand,-,20,12,-,-,-,13,13,29,5,2,-,94
,,,CGE37084R,"10,837",MT,D,405,"41,000","6,370","11,00-20-16PR",370,"6,970","11,324 x 2,500 x 3,252",3,8X4,FR,90,2,12,CBU,Thailand,2,2,-,12,-,-,-,-,-,5,2,-,23
,,,RKE15042R,"3,760",MT,D,100,"8,500","4,800","7,50-16-14PR",150,"3,350","6,258 x 2,206 x 2,540",3,4X2,FR,90,2,6,CBU,India,52,72,36,36,88,46,-,-,-,-,-,-,330
,,,TOTAL,,,,,,,,,,,,,,,,,,,54,94,48,48,88,46,13,13,29,10,4,-,447
20,PT. HINO MOTORS SALES INDONESIA,HINO,ZY - HR,"12,913",MT,D,330,"50,000",STD 5.41,12.00 R24,410,0+3750+,9290 x 2545 x 3205,2,8X4,FR,99,2,12,CBU,Japan,-,-,40,28,20,-,22,36,11,29,30,-,216
,,,ZS4141,"12,913",MT,D,330,"41,000",STD 7.21,12.00 R24,410,145+15,8245 x 2545 x 3205,2,6X4,FR,75,2,10,CBU,Japan,-,10,-,-,12,-,24,20,3,19,32,-,120
,,,SS1E,"12,913",MT,D,330,-,7.21,12.00 R24,410,145+15,8245 x 2545 x 3205,2,6X4,FR,-,2,-,CBU,Japan,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,SV1E,"12,913",MT,D,330,-,7.21,12.00 R24,410,145+15,8245 x 2545 x 3205,2,6X4,FR,75,2,10,CBU,Japan,-,-,-,-,25,-,-,-,-,-,-,-,25
,,,TOTAL,,,,,,,,,,,,,,,,,,,-,10,40,28,57,-,46,56,14,48,62,-,361
21,PT. KERETA INDO ARTA,KIA,Seltos,"1,353",AT,G,55,"1,705",,215/60 R17,140/6000,"2,610",4315 x 1800 x 1620,5,4X2,FF,7,5,4,CBU,India,24,57,14,1,13,5,21,39,33,39,-,1,247
,,,Seltos CRDi,"1,353",AT,G,55,"1,705",,215/60 R17,140/6000,"2,610",4315 x 1800 x 1620,5,4X2,FF,7,5,4,CBU,India,-,-,21,-,8,1,-,-,-,-,-,-,30
,,,K-2700 BIG-UP Chs,"2,665",MT,D,70,"2,950","4,444",195 R14,58.5/4.150 (kW/rpm),"2,415",4820 x 1790 x 2070,3,4X2,FR,-,2,4,CBU,Korea,1,-,-,-,-,-,-,-,-,-,-,-,1
,,,K-2700 BIG-UP Box,"2,665",MT,D,70,"2,950","4,444",195 R14,58.5/4.150 (kW/rpm),"2,415",4820 x 1790 x 2070,3,4X2,FR,-,2,4,CBU,India,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,Sonet Premiere,"1,500",AT,G,55,"1,705",-,215/60 R17,140/6000,"2,610",4315 x 1800 x 1620,5,4X2,FF,7,5,4,CBU,India,88,10,67,110,99,63,137,216,241,241,50,66,"1,388"
,,,Sonet Premiere,"1,500",MT,G,55,"1,705",-,215/60 R17,140/6000,"2,610",4315 x 1800 x 1620,5,4X2,FF,7,5,4,CBU,Korea,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,Grand Carnival,"2,151",AT,D,80,-,-,235/60 R18,202/3800,"3,090",5115 x 1995 x 1750,11,4X2,FF,8,5,4,CBU,Korea,-,-,1,-,-,-,-,-,-,-,-,-,1
,,,Grand Carnival,"2,151",AT,D,80,-,-,235/60 R18,202/3800,"3,090",5115 x 1995 x 1750,11,4X2,FF,8,5,4,CBU,Korea,-,-,32,80,14,22,38,2,17,22,2,16,245
,,,Carens,"1,353",AT,G,80,"2,960","3,195",235/60 R18,270/6400,"3,090",5155 x 2000 x 1785,11,4X2,FF,8,5,4,CBU,Korea,-,-,-,-,-,-,-,-,30,3,1,-,34
,,,Carens,"1,497",AT,G,80,"2,960","3,195",235/60 R18,202/3800,"3,090",5155 x 2000 x 1785,11,4X2,FF,8,5,4,CBU,Korea,-,-,-,-,-,-,-,33,3,84,-,20,140
,,,TOTAL,,,,,,,,,,,,,,,,,,,113,67,135,191,134,91,196,290,324,389,53,103,"2,086"
22,PT DAIMLER COMMERCIAL VEHICLES INDONESIA,MERSEDES-BENZ CV,Axor 1623 C,"6,373",MT,D,260,"16,000",6.700 - 0.730,"10.00 - 20, Tube-type",231,"3,600",6230 x 2490 x 2955,2,4X2,FR,90,2,4,CBU,India,-,-,25,-,-,-,-,-,-,-,-,-,25
,,,Axor 1623 C (4x2) MT [E4],"6,373",MT,D,240,"16,000",6.700 - 0.730,"10.00 - 20, Tube-type",238,"3,600",6230 x 2490 x 2955,2,4X2,FR,90,2,4,CBU,INDIA,-,-,-,-,-,-,1,-,-,4,-,-,5
,,,Axor 1623 R / 51,"6,373",MT,D,255,"16,000",6.700 - 0.730,"10.00 - 20, Tube-type",231,"5,100",9130 x 2490 x 2910,2,4X2,FR,90,2,4,CBU,India,-,4,1,-,-,-,-,-,-,-,-,-,5
,,,Axor 1623 R / 51 [E4],"6,373",MT,D,240,"16,000",6.700 - 0.730,"10.00 - 20, Tube-type",238,"5,100",9130 x 2490 x 2910,2,4X2,FR,90,2,4,CBU,INDIA,-,-,-,-,-,-,1,-,-,-,-,-,1
,,,Axor 1623 R / 60,"6,373",MT,D,255,"16,000",6.700 - 0.730,"10.00 - 20, Tube-type",231,"6,000",10475 x 2490 x 2910,2,4X2,FR,90,2,4,CBU,India,-,7,13,-,-,-,-,-,-,-,-,-,20
,,,Axor 1623 R / 60 [E4],"6,373",MT,D,240,"16,000",6.700 - 0.730,"10.00 - 20, Tube-type",238,"6,000",10475 x 2490 x 2910,2,4X2,FR,90,2,4,CBU,INDIA,-,-,-,-,-,-,1,-,-,-,8,5,14
,,,Actros 2636 LS [E5],"12,816",AT,D,290 + 430,"26,000",14.930 - 1.00,295/80 R 22.5,360,"3,900",7550 x 2500 x 3936,2,6X4,FR,85,2,6,CBU,Germany,-,-,-,-,-,-,-,-,-,-,1,3,4
,,,Actros 2636 LSDNA,"12,816",AT,D,390 + 390,"26,000",14.930 - 1.00,295/80 R 22.5,360,"3,300",6950 x 2500 x 3936,2,6X2,FR,85,2,6,CBU,Germany,-,-,-,-,1,-,-,-,-,-,-,-,1
,,,Arocs 2545 A,"12,816",AT,D,390,"25,000",11.722 - 0.68,325/95 R 24,449,"4,500",8150 x 2500 x 3746,2,4X4,FA,85,2,4,CBU,Germany,-,-,-,-,3,-,-,-,-,-,-,-,3
,,,Arocs 4040 K,"12,816",AT,D,390,"40,000",11.722 - 0.68,325/95 R 24,394,"4,150",8250 x 2500 x 3847,2,6X4,FR,85,2,6,CBU,Germany,15,63,74,-,5,-,-,-,-,-,-,-,157
,,,Arocs 4042 K [E5],"12,816",AT,D,390,"40,000",11.722 - 0.68,325/95 R 24,394,"4,150",8250 x 2500 x 3847,2,6X4,FR,85,2,6,CBU,Germany,-,-,-,-,-,-,-,-,-,-,15,19,34
,,,Arocs 4045 AK,"12,816",AT,D,390,"40,000",11.722 - 0.68,325/95 R 24,449,"4,450",8250 x 2500 x 3952,2,6X6,FA,85,2,6,CBU,Germany,5,8,35,-,-,-,-,-,-,-,-,-,48
,,,Arocs 4045 AK [E5],"12,809",AT,D,390,"40,000",11.722 - 0.68,325/95 R 24,449,"4,450",8525 x 2500 x 3939,2,6X6,FA,90,2,6,CBU,Germany,-,-,-,-,-,-,-,-,-,-,-,7,7
,,,Arocs 4045 AS [E5],"12,809",AT,D,390,"40,000",11.722 - 0.68,325/95 R 24,449,"3,850",7713 X 2500 X 3939,2,6X6,FA,90,2,6,CBU,Germany,-,-,-,-,-,-,-,-,-,-,-,1,1
,,,Actros 4843 K,"11,946",AT,D,400,"48,000",11.722 - 0.68,325/95 R 24,428,"5,480",9288 x 2487 x 3345,2,8X4,FR,85,2,8,CBU,Germany,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,Arocs 4845 K,"12,816",AT,D,390,"48,000",11.722 - 0.68,325/95 R 24,449,"5,700",9960 x 2500 x 3905,2,8X4,FR,85,2,8,CBU,Germany,8,25,122,-,1,-,-,-,-,-,-,-,156
,,,Arocs 4845 K [E5],"12,816",AT,D,390,"48,000",11.722 - 0.68,325/95 R 24,449,"5,700",9960 x 2500 x 3905,2,8X4,FR,85,2,8,CBU,Germany,-,-,-,-,-,-,-,-,-,-,7,18,25
,,,Axor 2523 R / 45,"6,373",MT,D,380,"25,000",6.700 - 0.730,"10.00 R 20, Tube-type",231,"4,500",9867 x 2490 x 2935,2,6X2,FR,90,2,6,CBU,India,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,Axor 2523 R / 4500 (Bogie),"6,373",MT,D,380,"25,000",6.700 - 0.730,"10.00 R 20, Tube-type",231,"4,500",9867 x 2490 x 2935,2,6X2,FR,90,2,6,CBU,India,-,4,2,-,-,-,-,-,-,-,-,-,6
,,,Axor 2523 R / 4500 [E4],"6,373",MT,D,355,"26,500",6.700 - 0.730,"11.00 - 20, Tube-type",238,"4,500",9867 x 2490 x 3100,2,6x2,FR,90,2,6,CBU,INDIA,-,-,-,-,-,-,1,-,-,-,-,-,1
,,,Axor 2523 R / 57,"6,373",MT,D,380,"25,000",6.700 - 0.730,"10.00 R 20, Tube-type",231,"5,700",12000 x 2490 x 2935,2,6X2,FR,90,2,6,CBU,India,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,Axor 2523 R / 5700 (Bogie),"6,373",MT,D,380,"25,000",6.700 - 0.730,"10.00 R 20, Tube-type",231,"5,700",12000 x 2490 x 2935,2,6X2,FR,90,2,6,CBU,India,-,6,10,-,-,-,-,-,-,-,-,-,16
,,,Axor 2523 R / 5700 [E4],"6,373",MT,D,355,"26,500",6.700 - 0.730,"11.00 - 20, Tube-type",238,"5,700",12000 x 2490 x 3100,2,6x2,FR,90,2,6,CBU,INDIA,-,-,-,-,-,-,37,24,-,-,-,-,61
,,,Axor 2528 R,"6,373",MT,D,380,"25,000",14.573 - 1.00,"10.00 R 20, Tube-type",380,"5,700",12000 x 2490 x 2955,2,6x2,FR,90,2,6,CKD,INDONESIA,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,Axor 2528 R / 5700 (6X2) M/T [E4],"6,373",MT,D,355,"26,500",14.573 - 1.00,"11.00 - 20, Tube-type",285,"5,700",12000 x 2490 x 3100,2,6x2,FR,90,2,6,CBU,INDIA,-,-,-,-,-,-,1,-,-,1,-,-,2
,,,Axor 2528 R / 5700 (6X4) M/T [E4],"6,373",MT,D,355,"26,500",14.573 - 1.00,"11.00 - 20, Tube-type",285,"5,700",12000 x 2490 x 3100,2,6x4,FR,90,2,6,CBU,INDIA,-,-,-,-,-,-,1,-,-,1,-,-,2
,,,Axor 2528 R / 5700 (Bogie),"6,373",MT,D,380,"25,000",14.573 - 1.00,"10.00 R 20, Tube-type",380,"5,700",12000 x 2490 x 2935,2,6X2,FR,90,2,6,CBU,India,-,9,33,-,-,-,-,-,-,-,-,-,42
,,,Axor 2528 CH,"6,373",MT,D,255,"26,500",14.573 - 1.00,"11.00 - 20, Tube-type",280,"4,200",7840 x 2490 x 2990,2,6X4,FR,60,2,6,CBU,India,41,160,581,-,7,-,-,-,-,11,-,-,800
,,,Axor 2528 CH [E4],"6,373",MT,D,265,"26,500",14.573 - 1.00,"11.00 - 20, Tube-type",285,"4,200",7840 x 2490 x 2990,2,6X4,FR,60,2,6,CBU,INDIA,-,-,-,-,-,-,1,-,-,-,-,22,23
,,,Axor 3336 K,"11,970",AT,D,330,"33,500 technical",11.639 - 0.77,"315/80 R 22.5, Tubeless",354,"4,080",7755 x 2490 x 3232,2,6X4,FR,80,2,6,CBU,India,-,20,27,-,13,-,-,-,-,-,-,-,60
,,,Axor 3128 CM,"6,373",MT,D,240,"31,000",14.573 - 1.00,"12 R 20, Tube-type",280,"4,500",8060 x 2490 x 2785,2,8X4,FR,60,2,8,CBU,India,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,Axor 4843 K,"11,970",AT,D,330,"48,000 technical",11.639 - 0.77,"12.00 R 24, Tube-type",428,"5,380",9425 x 2490 x 3490,2,8X4,FR,80,2,8,CBU,India,-,20,39,-,1,-,-,-,-,-,-,-,60
,,,Actros 3351 S,"12,816",AT,D,290 + 290,"33,000",11.722 - 0.68,315/80 R 22.5,510,"3,600",7267 x 2482 x 3711,2,6X4,FR,85,2,6,CBU,Germany,-,1,1,-,-,-,-,-,-,-,-,-,2
,,,OF 917 MT (WB 4250),"3,900",MT,D,200,"10,400",5.400 - 0.711,235/75 R 17.5,170,"4,250",7447 x 2199,-,4X2,FR,110,-,4,CBU,India,-,6,20,28,-,-,-,-,-,-,-,-,54
,,,OF 917 (4X2) 4250 M/T [E4],"3,900",MT,D,200,"10,400",5.400 - 0.711,235/75 R 17.5,170,"4,250",7447 x 2199,-,4X2,FR,110,-,4,CBU,India,-,-,-,-,-,-,-,-,1,-,-,-,1
,,,OF 917 MT (WB 5300),"3,900",MT,D,200,"10,400",5.400 - 0.711,235/75 R 17.5,170,"5,300",8606 x 2199,-,4X2,FR,110,-,4,CBU,India,-,7,28,22,-,-,-,-,-,-,-,-,57
,,,OF 917 AT (WB 5300),"3,900",AT,D,200,"10,400",3.100 - 0.610,235/75 R 17.5,170,"5,300",8606 x 2199,-,4X2,FR,110,-,4,CBU,India,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,OF 917 (4X2) 5300 M/T [E4],"3,900",MT,D,200,"10,400",5.400 - 0.711,235/75 R 17.5,170,"5,300",8606 x 2199,-,4X2,FR,110,-,4,CBU,INDIA,-,-,-,-,-,-,1,-,1,-,-,-,2
,,,OF 1623,"6,374",MT,D,380,"16,000",6.700 - 0.730,11.00 R 22.5,235,"5,950",11650 x 2480,-,4X2,FR,110,-,4,CBU,India,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,O 500 U 1626 AT [E5],"6,374",MT,D,380,"16,000",6.700 - 0.730,11.00 R 22.5,235,"5,950",11650 x 2480,-,4X2,FR,110,-,4,CBU,India,-,-,-,-,-,-,-,-,-,-,1,1,2
,,,TOTAL,,,,,,,,,,,,,,,,,,,69,340,"1,011",50,31,-,45,24,2,17,32,76,"1,697"
23,PT MERSEDES-BENZ INDONESIA,MERSEDES-BENZ PC,CLA200AMG Line (C118),"1,332",AT,G,43,"1,950",7,225/45 R18,163,"2,729","4,695 x 1,999 x 1430",5,4X2,FF,-,4,4,CBU,-,-,-,9,1,14,3,21,16,9,4,-,3,80
,,,AMG CLA 45 S (C118),-,-,-,-,-,-,-,-,-,-,5,4X4,FF,-,4,4,CBU,-,-,-,19,2,1,4,11,3,1,2,2,2,47
,,,CLS 350 AMG,"1,991",AT,G,66,"2,410",9,"245/35, 275/30 R20",299,"2,939","4,996 x 2,069 x 1,436",5,4X2,FR,-,4,4,CBU,-,-,-,-,-,5,1,-,1,5,5,1,-,18
,,,E 200 Coupe  (C238)*,"2,999",AT,G,-,-,-,-,-,-,-,-,4X4,4WD,-,-,-,CBU,-,-,-,-,-,-,-,-,-,-,2,-,-,2
,,,AMG GT Black Series,"3,982",AT,G,-,-,-,-,-,-,-,-,-,-,-,2,4,CBU,-,-,2,-,-,-,-,-,-,-,-,-,-,2
,,,AMG GT 53 4MATIC+ (X290)*,"2,999",AT,G,-,-,-,-,-,-,-,4,4X4,4WD,-,4,4,CBU,-,-,-,1,-,1,2,3,3,1,4,1,-,16
,,,Maybach S 580 (Z223)*,-,AT,G,-,-,-,-,-,-,-,4,4X4,4WD,-,4,4,CBU,-,-,-,-,-,-,-,5,3,1,1,-,-,10
,,,EQS 450+ (V297),-,AT,EV,-,-,-,-,-,-,-,4,4X2,FR,-,4,4,CBU,-,-,-,-,-,-,-,-,-,-,2,5,5,12
,,,AMG CLA 45 S Shooting Brake (X118),-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,CBU,-,-,-,4,3,-,-,-,1,-,-,1,-,9
,,,GLC 300 Coupe,"1,991",AT,G,66,"2,430",9,"235/55, 255/50 R19",245,"2,873","4,729 x 2,096 x 1,586",5,4X4,4WD,-,5,4,CBU,-,1,-,-,2,1,2,-,-,1,2,-,1,10
,,,AMG G 63,"3,982",AT,G,100,"3,200",9,-,585,"2,890","4,873 x 2,187 x 1,969",5,4X4,4WD,-,5,4,CBU,-,-,-,-,4,3,4,1,3,5,1,-,-,21
,,,GLB 200 Progressive Line ( X247),"1,332",AT,G,-,-,-,-,-,-,-,7,4X2,FR,-,-,-,CBU,-,12,-,-,46,49,11,10,48,4,3,9,-,192
,,,GLS 600 Maybach (X167),-,AT,G,-,-,-,-,-,-,-,5,4X4,-,-,5,4,CBU,-,-,-,3,2,2,-,-,1,-,-,-,2,10
,,,GLE 450 Coupe 4MATIC AMG Line (C167)*,"2,999",AT,G,-,-,-,-,-,-,-,4,4X2,FR,-,-,-,CBU,-,-,-,-,-,-,2,-,-,-,-,-,-,2
,,,AMG GLE 53 Coupe 4MATIC+ (C167)*,"2,999",AT,G,-,-,-,-,-,-,-,4,4X4,4WD,-,-,-,CBU,-,-,-,-,4,3,2,6,3,4,-,-,-,22
,,,V Klass,"1,991",AT,G,-,"2,940",-,-,-,-,-,-,-,-,-,5,-,CBU,Spain,-,-,-,-,-,-,-,-,-,6,24,8,38
,,,V 220,"2,143",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,Spain,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,SPRINTER,"2,143",MT,G,-,"5,300",-,-,-,-,-,-,4X2,-,-,4,-,CBU,Spain,26,8,2,-,-,-,-,-,-,-,-,-,36
,,,TOTAL,,,,,,,,,,,,,,,,,,,39,10,38,64,79,31,57,82,31,32,43,21,527
24,PT. SAIC MOTOR INDONESIA,MORREIS GARAGE,ZS Activate 1.5L CVT,"1,498",AT,G,48,"1,258",-,215/60 R16,114,"2,585",4323 x 1809 x 1628,5,4X2,FF,4,5,4,CBU,Thailand,-,-,-,-,-,11,-,-,-,-,-,9,20
,,,ZS Ignite 1.5L CVT,"1,498",AT,G,48,"1,258",-,215/60 R16,114,"2,585",4323 x 1809 x 1653,5,4X2,FF,4,5,4,CBU,Thailand,20,-,-,-,-,7,-,-,-,-,-,20,47
,,,ZS Magnify 1.5L CVT,"1,498",AT,G,48,"1,258",-,215/55 R17,114,"2,585",4323 x 1809 x 1653,5,4X2,FF,4,5,4,CBU,Thailand,193,7,-,-,-,30,-,-,-,-,-,211,441
,,,HS Excite,"1,490",AT,G,55,"1,510",-,215/60 R17,162,"2,720",4574 x 1876 x 1664,5,4X2,FF,7,5,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,HS Ignite,"1,490",AT,G,55,"1,510",-,235/50 R18,162,"2,720",4574 x 1876 x 1664,5,4X2,FF,7,5,4,CBU,Thailand,-,-,-,21,48,27,12,-,-,-,-,-,108
,,,HS i-Smart Magnify,"1,490",AT,G,55,"1,510",-,235/50 R18,162,"2,720",4574 x 1876 x 1664,5,4X2,FF,7,5,4,CBU,Thailand,-,-,-,-,-,-,75,26,75,11,1,-,188
,,,5 GT Activate 1.5L,"1,498",CVT,G,45,"1,233",-,205/55 R16,114,"2,680",4675 x 1842 x 1473,5,4X2,FF,8,5,4,CBU,Thailand,-,-,-,-,-,-,-,-,20,-,-,-,20
,,,5 GT Ignite 1.5L,"1,498",CVT,G,45,"1,233",-,215/50 R17,114,"2,680",4675 x 1842 x 1473,5,4X2,FF,8,5,4,CBU,Thailand,-,-,-,-,-,40,18,62,30,-,30,10,190
,,,5 GT Magnify 1.5L,"1,498",CVT,G,45,"1,233",-,215/50 R17,114,"2,680",4675 x 1842 x 1480,5,4X2,FF,8,5,4,CBU,Thailand,-,-,-,-,2,-,-,-,100,81,49,4,236
,,,TOTAL,,,,,,,,,,,,,,,,,,,213,7,-,21,50,115,105,88,225,92,80,254,"1,250"
25,PT. SOKONINDO AUTOMOBILE,DFSK,GELORA C36 MINI BUS 1.5 (4X2) M/T,"1,498",MT,G,55,-,-,185/80 R14,109,"3,050",4500 X 1680 X 2000,11,4X2,FR,-,4,4,CBU,China,-,-,-,-,-,-,-,-,-,-,-,10,10
,,,GELORA EC35 BLIND VAN (4X2) A/T,"1,498",AT,G,58,"2,035",-,225/60R17,150,"2,780",4680 X 1845 X 1715,7,4X2,FF,-,4,4,CBU,China,-,-,-,-,-,-,-,-,-,-,4,-,4
,,,GELORA EC36 MINI BUS 1.5 (4X2) A/T,"1,498",AT,G,58,"2,035",-,225/60R17,150,"2,780",4680 X 1845 X 1715,7,4X2,FF,-,4,4,CBU,China,-,-,-,-,-,-,-,-,-,-,2,-,2
,,,TOTAL,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,6,10,16
26,PT. NISSAN MOTOR INDONESIA,INFINITI,QX70 3.7,"3,696",AT,G,-,"1,940",-,-,-,-,-,-,4X4,AWD,-,5,4,CBU,UK,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,Q50 3.5 Hybrid,"3,498",AT,G,-,-,-,-,-,-,-,-,4X2,FR,-,4,4,CBU,UK,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,TOTAL,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-
27,PT. NISSAN MOTOR INDONESIA,NISSAN,New X-Trail Hybrid 2.0 CVT,"1,997",CVT,G,-,"1,820",-,-,-,-,-,5,4X2,-,-,5,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,Elgrand 2.5L (3 Row leather),"2,489",CVT,G,-,"2,410",-,225 / 55 / R18,"170 / 5,600","3,000","4,915 x 1,850 x 1,815",-,4X2,-,-,5,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,TOTAL,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-
28,PT. PLAZA AUTO MEGA,SUBARU,BRZ 2.0 MT (ZD8),"2,387",AT,G,63,"1,670",-,215/40 R18,237,"2,575","4,265 x 1,775 x 1,310",4,4X2,FR,-,2,4,CBU,Japan,-,-,-,-,-,-,-,2,1,2,4,4,13
,,,BRZ 2.0 AT (ZD8),"2,387",AT,G,63,"1,700",-,215/40 R18,237,"2,575","4,265 x 1,775 x 1,310",4,4X2,FR,-,2,4,CBU,Japan,-,-,-,-,-,-,-,4,1,7,3,-,15
,,,XV 2.0i-S (GT7),"1,999",CVT,G,63,"1,940",-,225/55 R18,154,"2,665","4,485 x 1,800 x 1,615",5,4X4,4WD,-,4,4,CBU,Japan,-,-,-,-,-,-,-,15,3,2,3,3,26
,,,XV 2.0i-S ES (GT7),"1,999",CVT,G,63,"1,940",-,225/55 R18,154,"2,665","4,485 x 1,800 x 1,615",5,4X4,4WD,-,4,4,CBU,Japan,-,-,-,-,-,-,-,27,7,4,9,-,47
,,,Forester 2.0i-L (SK7),"1,999",CVT,"G
G","63
63","2,223",-,225/60 R17,154,"2,670","4,640 x 1,815 x 1,730",5,4X4,4WD,-,4,4,CBU,Japan,-,-,-,-,-,-,10,5,5,1,-,-,21
,,,Forester 2.0i-S ES (SK7),"1,999",CVT,,,"2,223",-,225/55 R18,154,"2,670","4,640 x 1,815 x 1,730",5,4X4,4WD,-,4,4,CBU,Japan,-,-,-,-,-,-,24,15,19,10,15,16,99
,,,TOTAL,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,34,68,36,26,34,23,221
29,PT. CHERY MOTOR INDONESIA,CHERY,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,TOTAL,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TOTAL CBU IMPORT
CUMULATIVE CBU IMPORT",,,,,,,,,,,,,,,,,,,,,,"3,867","4,888","8,820","4,302","4,388","5,868","9,726","8,505","8,756","8,527","6,691","8,960","83,298"
,,,,,,,,,,,,,,,,,,,,,,"3,867","8,755","17,575","21,877","26,265","32,133","41,859","50,364","59,120","67,647","74,338","83,298",
